source_file,category,category_label,type_id,type_label,type_count,wcag_criteria,wcag_level,pour_dimensions,sr_relevance,instance_index,hidden,description,label
1-Ibge.html,alert,Alerts,title_redundant,Redundant title text,8,,,,,8,true,Redundant title text 8,Redundant title text
1-Ibge.html,feature,Features,alt,Alternative text,4,1.1.1,A,Perceivable,positive,1,false,Alternative text 1,Alternative text
1-Ibge.html,feature,Features,alt,Alternative text,4,1.1.1,A,Perceivable,positive,2,false,Alternative text 2,Alternative text
1-Ibge.html,feature,Features,alt,Alternative text,4,1.1.1,A,Perceivable,positive,3,false,Alternative text 3,Alternative text
1-Ibge.html,feature,Features,alt,Alternative text,4,1.1.1,A,Perceivable,positive,4,false,Alternative text 4,Alternative text
1-Ibge.html,feature,Features,alt_null,Null or empty alternative text,4,,,,,1,false,Null or empty alternative text 1,Null or empty alternative text
1-Ibge.html,feature,Features,alt_null,Null or empty alternative text,4,,,,,2,false,Null or empty alternative text 2,Null or empty alternative text
1-Ibge.html,feature,Features,alt_null,Null or empty alternative text,4,,,,,3,false,Null or empty alternative text 3,Null or empty alternative text
1-Ibge.html,feature,Features,alt_null,Null or empty alternative text,4,,,,,4,false,Null or empty alternative text 4,Null or empty alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,1,false,Linked image with alternative text 1,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,2,false,Linked image with alternative text 2,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,3,false,Linked image with alternative text 3,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,4,true,Linked image with alternative text 4,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,5,true,Linked image with alternative text 5,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,6,true,Linked image with alternative text 6,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,7,false,Linked image with alternative text 7,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,8,false,Linked image with alternative text 8,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,9,false,Linked image with alternative text 9,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,10,false,Linked image with alternative text 10,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,11,false,Linked image with alternative text 11,Linked image with alternative text
1-Ibge.html,feature,Features,alt_link,Linked image with alternative text,16,1.1.1,A,Perceivable,positive,12,false,Linked image with alternative text 12,Linked image with alternative text
